REPORT_ID,Total Cas,Total Fats,Total SI,Total MI,CSEF Severity,Licence Type,Number Occupants,Drugs Involved,Area Speed,Crash Type,Position Type,DayNight,DUI Involved,Weather Cond
2017-143-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-144-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-145-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,50,Hit Parked Vehicle,Divided Road,Daylight,,Not Raining
2017-146-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,Not Divided,Daylight,,Not Raining
2017-147-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Hit Animal,Not Divided,Night,,Not Raining
2017-148-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Hit Pedestrian,Divided Road,Daylight,,Not Raining
2017-149-8/11/2018,0,0,0,0,1: PDO,Full,1,,25,Side Swipe,Cross Road,Daylight,,Not Raining
2017-150-8/11/2018,0,0,0,0,1: PDO,Provisional 1 ,1,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-151-8/11/2018,0,0,0,0,1: PDO,Full,1,,110,Roll Over,Divided Road,Daylight,,Not Raining
2017-152-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Other,T-Junction,Night,Y,Not Raining
2017-153-8/11/2018,0,0,0,0,1: PDO,Unknown,2,,100,Roll Over,Not Divided,Daylight,,Not Raining
2017-154-8/11/2018,2,0,0,2,2: MI,Full,2,,50,Right Angle,T-Junction,Daylight,,Not Raining
2017-155-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Right Turn,T-Junction,Daylight,,Not Raining
2017-156-8/11/2018,2,0,0,2,2: MI,Full,2,,60,Head On,Not Divided,Daylight,,Not Raining
2017-157-8/11/2018,0,0,0,0,1: PDO,Full,2,,90,Hit Fixed Object,Divided Road,Daylight,,Not Raining
2017-158-8/11/2018,0,0,0,0,1: PDO,Full,4,,60,Right Turn,Cross Road,Daylight,,Not Raining
2017-159-8/11/2018,1,0,0,1,2: MI,Provisional 1 ,2,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-160-8/11/2018,1,0,0,1,2: MI,,,,100,Roll Over,Freeway,Daylight,,Not Raining
2017-161-8/11/2018,0,0,0,0,1: PDO,Full,1,,100,Side Swipe,Not Divided,Daylight,,Not Raining
2017-162-8/11/2018,1,0,0,1,2: MI,Unknown,1,,50,Head On,Not Divided,Night,,Not Raining
2017-163-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Parked Vehicle,Not Divided,Night,Y,Not Raining
2017-164-8/11/2018,1,0,1,0,3: SI,Full,1,,100,Head On,T-Junction,Daylight,,Not Raining
2017-165-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Hit Fixed Object,Divided Road,Daylight,,Not Raining
2017-166-8/11/2018,0,0,0,0,1: PDO,Full,6,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-167-8/11/2018,1,0,0,1,2: MI,,1,,60,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-168-8/11/2018,2,0,0,2,2: MI,Unknown,1,,60,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-169-8/11/2018,0,0,0,0,1: PDO,Unknown,2,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-170-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-171-8/11/2018,0,0,0,0,1: PDO,Provisional 2,4,,110,Head On,Not Divided,Daylight,,Not Raining
2017-172-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Rear End,Multiple,Daylight,,Not Raining
2017-173-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Hit Pedestrian,Cross Road,Daylight,,Not Raining
2017-174-8/11/2018,1,0,1,0,3: SI,Full,3,,50,Head On,Not Divided,Daylight,,Not Raining
2017-175-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-176-8/11/2018,0,0,0,0,1: PDO,,,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-177-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-178-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,T-Junction,Daylight,,Not Raining
2017-179-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-180-8/11/2018,1,0,0,1,2: MI,Full,1,,80,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-181-8/11/2018,2,0,0,2,2: MI,Full,4,,40,Right Angle,Cross Road,Night,,Not Raining
2017-182-8/11/2018,1,0,1,0,3: SI,Full,1,,60,Rear End,Cross Road,Night,,Not Raining
2017-183-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Parked Vehicle,Not Divided,Night,Y,Not Raining
2017-184-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-185-8/11/2018,0,0,0,0,1: PDO,Full,2,,110,Hit Animal,Not Divided,Night,,Not Raining
2017-186-8/11/2018,1,0,0,1,2: MI,Full,2,,80,Roll Over,Not Divided,Daylight,,Not Raining
2017-187-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Roll Over,Cross Road,Daylight,,Not Raining
2017-188-8/11/2018,0,0,0,0,1: PDO,Full,1,,80,Side Swipe,Cross Road,Daylight,,Not Raining
2017-189-8/11/2018,0,0,0,0,1: PDO,Full,1,,80,Roll Over,Not Divided,Night,,Not Raining
2017-190-8/11/2018,1,0,0,1,2: MI,,,,90,Hit Animal,Not Divided,Daylight,,Not Raining
2017-191-8/11/2018,1,0,0,1,2: MI,Full,2,,50,Rear End,T-Junction,Daylight,,Not Raining
2017-192-8/11/2018,1,0,0,1,2: MI,,,Y,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-193-8/11/2018,1,0,0,1,2: MI,Full,1,,80,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-194-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-195-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-196-8/11/2018,0,0,0,0,1: PDO,,,,60,Hit Parked Vehicle,Divided Road,Night,,Not Raining
2017-197-8/11/2018,0,0,0,0,1: PDO,Unlicenced,1,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-198-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,T-Junction,Daylight,,Not Raining
2017-199-8/11/2018,1,0,0,1,2: MI,,,,50,Rear End,Not Divided,Daylight,,Not Raining
2017-200-8/11/2018,1,0,0,1,2: MI,Unknown,1,,60,Head On,Not Divided,Daylight,,Not Raining
2017-201-8/11/2018,1,0,0,1,2: MI,,,,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-202-8/11/2018,1,0,0,1,2: MI,Provisional 1 ,3,,80,Side Swipe,Not Divided,Daylight,,Not Raining
2017-203-8/11/2018,0,0,0,0,1: PDO,,,,50,Hit Fixed Object,T-Junction,Daylight,,Not Raining
2017-204-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-205-8/11/2018,0,0,0,0,1: PDO,Full,1,,110,Left Road - Out of Control,Freeway,Daylight,,Not Raining
2017-206-8/11/2018,0,0,0,0,1: PDO,Full,1,,80,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-207-8/11/2018,2,0,0,2,2: MI,,,,110,Roll Over,Divided Road,Daylight,,Not Raining
2017-208-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Right Angle,Not Divided,Daylight,,Not Raining
2017-209-8/11/2018,1,0,0,1,2: MI,Unknown,1,,50,Roll Over,Divided Road,Daylight,,Not Raining
2017-210-8/11/2018,0,0,0,0,1: PDO,Full,1,,100,Hit Object on Road,Not Divided,Daylight,,Not Raining
2017-211-8/11/2018,0,0,0,0,1: PDO,Full,1,,110,Right Angle,T-Junction,Daylight,,Not Raining
2017-212-8/11/2018,0,0,0,0,1: PDO,Provisional 2,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-213-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-214-8/11/2018,0,0,0,0,1: PDO,,,,50,Head On,Not Divided,Daylight,,Not Raining
2017-215-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-216-8/11/2018,0,0,0,0,1: PDO,Full,2,,100,Hit Object on Road,Not Divided,Night,,Not Raining
2017-217-8/11/2018,0,0,0,0,1: PDO,Full,1,,100,Hit Fixed Object,Not Divided,Night,,Not Raining
2017-218-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,100,Head On,Not Divided,Daylight,,Not Raining
2017-219-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,T-Junction,Daylight,Y,Not Raining
2017-220-8/11/2018,0,0,0,0,1: PDO,,1,,50,Right Angle,Cross Road,Daylight,,Not Raining
2017-221-8/11/2018,1,0,0,1,2: MI,Full,1,,80,Rear End,Cross Road,Daylight,,Not Raining
2017-222-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-223-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Rear End,Not Divided,Daylight,,Not Raining
2017-224-8/11/2018,1,0,0,1,2: MI,Full,1,,80,Rear End,T-Junction,Daylight,,Not Raining
2017-225-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Rear End,Divided Road,Daylight,,Not Raining
2017-226-8/11/2018,1,0,1,0,3: SI,,1,,60,Right Angle,Multiple,Daylight,,Not Raining
2017-227-8/11/2018,1,0,1,0,3: SI,Unknown,1,,110,Hit Fixed Object,Freeway,Daylight,,Not Raining
2017-228-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,70,Rear End,Divided Road,Daylight,,Not Raining
2017-229-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-230-8/11/2018,0,0,0,0,1: PDO,Learners,1,,60,Right Turn,Cross Road,Daylight,,Not Raining
2017-231-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Rear End,T-Junction,Daylight,,Not Raining
2017-232-8/11/2018,1,0,0,1,2: MI,Unlicenced,3,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
